Population,Pedigree,Run,Rate,Number,Survival,Biomass
F2-13,F2,1,105,40,Medium,0.14
F2-13,F2,1,105,41,High,0.13
F2-13,F2,1,105,42,High,0.11
F2-13,F2,1,105,43,High,0.14
F2-13,F2,1,105,44,Medium,0.1
F2-13,F2,1,105,45,Low,0.19
F2-13,F2,1,105,46,Medium,0.16
F2-13,F2,1,105,47,Medium,0.14
F2-13,F2,1,105,48,High,0.1
F2-13,F2,1,105,49,Medium,0.18
F2-13,F2,1,105,50,Medium,0.1
F2-13,F2,1,105,51,Low,0.29
F2-13,F2,1,105,52,High,0.13
F2-13,F2,1,105,53,High,0.07
F2-13,F2,1,105,54,High,0.09
F2-13,F2,1,105,55,High,0.06
F2-13,F2,1,105,56,Medium,0.15
F2-13,F2,1,105,57,Medium,0.08
F2-13,F2,1,105,58,Low,0.23
F2-13,F2,1,105,59,Low,0.25
F2-13,F2,1,105,60,Low,0.34
F2-13,F2,1,105,61,Low,0.24
F2-13,F2,1,105,62,Low,0.23
F2-13,F2,1,105,63,Low,0.35
F2-13,F2,1,105,64,High,0.06
F2-13,F2,1,105,65,Low,0.33
F2-13,F2,1,105,66,Low,0.17
F2-13,F2,1,105,67,Medium,0.13
F2-13,F2,1,105,68,High,0.09
F2-13,F2,1,105,69,Low,0.25
F2-13,F2,1,105,70,High,0.04
F2-13,F2,1,105,71,High,0.07
F2-13,F2,1,105,72,High,0.05
F2-13,F2,1,105,73,Died,0.03
F2-13,F2,1,105,74,High,0.06
F2-13,F2,1,105,75,High,0.07
F2-13,F2,1,105,76,Died,0.01
F2-13,F2,1,105,77,High,0.09
F2-13,F2,1,105,78,High,0.09
F2-13,F2,1,105,79,Medium,0.15
F2-13,F2,1,105,80,High,0.04
F2-13,F2,1,105,81,Medium,0.1
F2-13,F2,1,105,82,High,0.08
F2-13,F2,1,105,83,High,0.08
F2-13,F2,1,105,84,High,0.03
F2-13,F2,1,105,85,High,0.05
F2-13,F2,1,105,86,High,0.08
F2-13,F2,1,105,87,Died,0
F2-13,F2,1,105,88,High,0.05
F2-13,F2,1,105,89,High,0.04
F2-13,F2,1,105,90,Medium,0.14
F2-13,F2,1,105,91,High,0.08
F2-13,F2,1,105,92,Medium,0.12
F2-13,F2,1,105,93,High,0.05
F2-13,F2,1,105,94,High,0.05
F2-13,F2,1,105,95,High,0.09
F2-13,F2,1,105,96,High,0.11
F2-13,F2,1,105,97,Died,0.08
F2-13,F2,1,105,98,Died,0.07
BC-8,BC,1,105,1,Low,0.18
BC-8,BC,1,105,2,Low,0.14
BC-8,BC,1,105,3,Low,0.12
BC-8,BC,1,105,4,Low,0.1
BC-8,BC,1,105,5,Low,0.22
BC-8,BC,1,105,6,Low,0.16
BC-8,BC,1,105,7,Low,0.16
BC-8,BC,1,105,8,Low,0.13
BC-8,BC,1,105,9,Medium,0.18
BC-8,BC,1,105,10,High,0.12
BC-8,BC,1,105,11,High,0.1
BC-8,BC,1,105,12,Low,0.18
BC-8,BC,1,105,13,Low,0.16
BC-8,BC,1,105,14,High,0.04
BC-8,BC,1,105,15,High,0.13
BC-8,BC,1,105,16,Medium,0.15
BC-8,BC,1,105,17,High,0.17
BC-8,BC,1,105,18,High,0.1
BC-8,BC,1,105,19,Low,0.23
BC-8,BC,1,105,20,Low,0.19
BC-8,BC,1,105,21,Died,0.05
BC-8,BC,1,105,22,Medium,0.15
BC-8,BC,1,105,23,High,0.05
BC-8,BC,1,105,24,Medium,0.14
BC-8,BC,1,105,25,Medium,0.07
BC-8,BC,1,105,26,High,0.17
BC-8,BC,1,105,27,High,0.14
BC-8,BC,1,105,28,High,0.09
BC-8,BC,1,105,29,High,0.09
BC-8,BC,1,105,30,High,0.1
BC-8,BC,1,105,31,Medium,0.19
BC-8,BC,1,105,32,High,0.04
BC-8,BC,1,105,33,High,0.08
BC-8,BC,1,105,34,Died,0.03
BC-8,BC,1,105,35,Medium,0.2
BC-8,BC,1,105,36,Low,0.16
BC-8,BC,1,105,37,Medium,0.17
BC-8,BC,1,105,38,Medium,0.1
BC-8,BC,1,105,39,Medium,0.16
BC-8,BC,1,105,40,Died,0.02
BC-8,BC,1,105,41,High,0.1
BC-8,BC,1,105,42,Medium,0.1
BC-8,BC,1,105,43,High,0.06
BC-8,BC,1,105,44,Low,0.11
BC-8,BC,1,105,45,Low,0.21
BC-8,BC,1,105,46,Low,0.1
BC-8,BC,1,105,47,Died,0.03
BC-8,BC,1,105,48,Died,0.01
BC-8,BC,1,105,49,Low,0.15
BC-8,BC,1,105,50,Medium,0.1
BC-8,BC,1,105,51,Medium,0.14
BC-8,BC,1,105,52,Medium,0.1
BC-8,BC,1,105,53,Medium,0.11
BC-8,BC,1,105,54,Medium,0.15
BC-8,BC,1,105,55,Medium,0.14
BC-8,BC,1,105,56,High,0.05
BC-8,BC,1,105,57,Low,0.09
BC-8,BC,1,105,58,High,0.09
BC-8,BC,1,105,59,Died,0.03
BC-8,BC,1,105,60,Medium,0.16
BC-8,BC,1,105,61,Medium,0.1
BC-8,BC,1,105,62,Low,0.02
BC-8,BC,1,105,63,Died,0.06
BC-8,BC,1,105,64,Died,0.09
BC-8,BC,1,105,65,High,0.12
BC-8,BC,1,105,66,Low,0.24
BC-8,BC,1,105,67,Low,0.18
BC-8,BC,1,105,68,Died,0.05
BC-8,BC,1,105,69,Medium,0.11
BC-8,BC,1,105,70,High,0.09
BC-8,BC,1,105,71,Died,0.03
BC-8,BC,1,105,72,Medium,0.11
BC-8,BC,1,105,73,High,0.07
BC-8,BC,1,105,74,High,0.07
BC-8,BC,1,105,75,High,0.14
BC-8,BC,1,105,76,Medium,0.12
BC-8,BC,1,105,77,High,0.05
BC-8,BC,1,105,78,Died,0.09
BC-8,BC,1,105,79,High,0.08
BC-8,BC,1,105,80,Medium,0.14564
BC-8,BC,1,105,81,Medium,0.21
BC-8,BC,1,105,82,High,0.01
BC-8,BC,1,105,83,High,0.08
BC-8,BC,1,105,84,High,0.13
BC-8,BC,1,105,85,Low,0.2
BC-8,BC,1,105,86,Low,0.12
BC-8,BC,1,105,87,Low,0.15
BC-8,BC,1,105,88,Low,0.11
BC-8,BC,1,105,89,Low,0.18
BC-8,BC,1,105,90,Low,0.11
BC-8,BC,1,105,91,Low,0.16
BC-8,BC,1,105,92,Low,0.12
BC-8,BC,1,105,93,Low,0.15
BC-8,BC,1,105,94,Medium,0.07
BC-8,BC,1,105,95,Low,0.14
BC-8,BC,1,105,96,Medium,0.17
BC-9,BC,1,105,1,Low,0.19
BC-9,BC,1,105,2,Low,0.18
BC-9,BC,1,105,3,Low,0.26
BC-9,BC,1,105,4,Low,0.31
BC-9,BC,1,105,5,Low,0.31
BC-9,BC,1,105,6,Low,0.18
BC-9,BC,1,105,7,Low,0.28
BC-9,BC,1,105,8,Low,0.27
BC-9,BC,1,105,9,Low,0.15
BC-9,BC,1,105,10,Died,0.02
BC-9,BC,1,105,11,Low,0.24
BC-9,BC,1,105,12,Low,0.23
BC-9,BC,1,105,13,Low,0.12
BC-9,BC,1,105,14,Low,0.27
BC-9,BC,1,105,15,Low,0.31
BC-9,BC,1,105,16,Low,0.15
BC-9,BC,1,105,17,Low,0.2
BC-9,BC,1,105,18,Low,0.24
BC-9,BC,1,105,19,Low,0.22
BC-9,BC,1,105,20,Low,0.25
